chemical compound,chemical structure,classification,physical properties
methane,CH4,flamable hydrocarbon,gas
sulfuric acid,H2SO4,acid,liquid
methanol,CH3OH,alchohol,liquid
methanoic acid,CH3COOH,carboxiyilic acid,liquid
ethane,C2H6,flamable hydrocarbon,gas
ethene,C2H4,flamable hydrocarbon,gas
ethyne,C2H2,flamable hydrocarbon,gas
propane,C3H8,flamable hydrocarbon,gas
propene,C3H6,flamable hydrocarbon,gas
propyne,C3H4,flamable hydrocarbon,gas
cyclopropane,C3H6,explosive hydrocarbon,gas
butane,C4H10,flamable hydrocarbon,gas
butene,C4H8,flamable hydrocarbon,gas
butyne,C4H6,flamable hydrocarbon,gas
cyclobutane,C4H8,explosive hydrocarbon,gas
benzene,C6H6,flamable hydrocarbon,liquid
methanal,HCHO,aldehyde,gas
ethanal,CH3CHO,aldehyde,gas
propanal,C2H5CHO,aldehyde,liquid
butanal,C3H7CHO,aldehyde,liquid
pentanal,C4H9CHO,aldehyde,solid
ethanoic acid,C2H5COOH,carboxiyilic acid,liquid
propanoic acid,C3H7COOH,carboxiyilic acid,liquid
butanoic acid,C4H9COOH,carboxiyilic acid,liquid
pentane,C5H12,flamable hydrocarbon,gas
pentene,C5H10,flamable hydrocarbon,gas
pentyne,C5H8,flamable hydrocarbon,gas
pantanol,C5H11OH,alchohol,liquid
cyclopentane,C5H10,explosive hydrocarbon,gas
pantanoic acid,C4H9COOH,carboxiyilic acid,liquid
chloro-methanol,ClCH2OH,halo alchohol,liquid
chloro-methane,ClCH3,halo alkanes,gas
bromo-methanol,BrCH2OH,halo alchohol,liquid
bromo-methane,BrCH3,halo alkanes,gas
chloro-ethanol,ClC2H4OH,halo alchohol,liquid
ethanol,C2H5OH,alchohol,liquid
propanol,C3H7OH,alchohol,liquid
chloro-ethane,ClC2H5,halo alkanes,gas
bromo-ethanol,BrC2H4OH,halo alchohol,liquid
bromo-ethane,BrC2H5,halo alkanes,gas
propanone,C3H6O,ketone,liquid
butanone,C4H80,ketone,liquid
pantanone,C5H10O,ketone,liquid
hexane,C6H14,flamable hydrocarbon,gas
hexene,C6H12,flamable hydrocarbon,gas
hexyne,C6H10,flamable hydrocarbon,gas
hexanol,C6H13OH,alchohol,liquid
hexanal,C5H11CHO,aldehyde,gas
chloro-hexane,ClC6H13,halo alkanes,liquid
chloro-hexanol,ClC6H12OH,halo alchohol,liquid
bromo-hexane,BrC6H13,halo alkanes,liquid
bromo-hexanol,BrC6H12OH,halo alchohol,liquid
hexanone,C6H12O,ketone,liquid
heptane,C7H16,flamable hydrocarbon,gas
heptene,C7H14,flamable hydrocarbon,gas
heptyne,C7H12,flamable hydrocarbon,gas
heptanol,C7H15OH,alchohol,liquid
heptanal,C6H13CHO,aldehyde,gas
heptanone,C7H14O,ketone,liquid
chloro-heptane,ClC7H15,halo alkanes,liquid
chloro-heptanol,ClC7H14OH,halo alchohol,liquid
bromo-heptane,BrC7H15,halo alkanes,liquid
bromo-heptane,BrC7H14OH,halo alchohol,liquid
octane,C8H18,flamable hydrocarbon,gas
octene,C8H16,flamable hydrocarbon,gas
octyne,C8H14,flamable hydrocarbon,gas
octanol,C8H17OH,alchohol,liquid
octanal,C7H15CHO,aldehyde,gas
octanone,C8H16O,ketone,liquid
chloro-octane,ClC8H17,halo alkanes,liquid
chloro-octanol,ClC8H16OH,halo alchohol,liquid
bromo-octane,BrC8H17,halo alkanes,liquid
bromo-octane,BrC8H16OH,halo alchohol,liquid
nonane,C9H20,flamable hydrocarbon,gas
nonene,C9H18,flamable hydrocarbon,gas
nonyne,C9H16,flamable hydrocarbon,gas
nonanol,C9H19OH,alchohol,liquid
nonanal,C8H17CHO,aldehyde,gas
nonanone,C9H18O,ketone,liquid
chloro-nonane,ClC9H19,halo alkanes,liquid
chloro-nonanol,ClC9H18OH,halo alchohol,liquid
bromo-nonane,BrC9H19,halo alkanes,liquid
bromo-nonane,BrC9H18OH,halo alchohol,liquid
decane,C10H22,flamable hydrocarbon,gas
decene,C10H20,flamable hydrocarbon,gas
decyne,C10H18,flamable hydrocarbon,gas
decanol,C10H21OH,alchohol,liquid
decanal,C9H19CHO,aldehyde,gas
decaone,C10H21O,ketone,liquid
chloro-decane,ClC10H21,halo alkanes,liquid
chloro-decanol,ClC10H18OH,halo alchohol,liquid
bromo-decane,BrC10H21,halo alkanes,liquid
bromo-decane,BrC10H20OH,halo alchohol,liquid
